Risk	MinAge	MaxAge	Fund name	Total Stock Market Index	Total International Stock Index	Total Bond Market II Index	Total International Bond Index	Short-Term Inflation-Protected Securitie	Total
conservative	0	23	2065	0.432	0.288	0.196	0.084	0.000	1.000
conservative	24	28	2060	0.432	0.288	0.196	0.084	0.000	1.000
conservative	29	33	2055	0.432	0.288	0.196	0.084	0.000	1.000
conservative	34	38	2050	0.432	0.288	0.196	0.084	0.000	1.000
conservative	39	43	2045	0.432	0.288	0.196	0.084	0.000	1.000
conservative	44	48	2040	0.416	0.272	0.223	0.089	0.000	1.000
conservative	49	53	2035	0.376	0.256	0.263	0.105	0.000	1.000
conservative	54	58	2030	0.344	0.224	0.270	0.122	0.040	1.000
conservative	59	63	2025	0.304	0.208	0.297	0.131	0.060	1.000
conservative	64	68	2020	0.264	0.176	0.318	0.132	0.110	1.000
conservative	69	72	2015	0.208	0.136	0.338	0.148	0.170	1.000
conservative	73	125	Income	0.144	0.096	0.391	0.169	0.200	1.000
moderate	0	23	2065	0.541	0.359	0.070	0.030	0.000	1.000
moderate	24	28	2060	0.545	0.355	0.070	0.030	0.000	1.000
moderate	29	33	2055	0.545	0.355	0.070	0.030	0.000	1.000
moderate	34	38	2050	0.543	0.357	0.070	0.030	0.000	1.000
moderate	39	43	2045	0.543	0.357	0.070	0.030	0.000	1.000
moderate	44	48	2040	0.521	0.342	0.096	0.041	0.000	1.000
moderate	49	53	2035	0.477	0.312	0.148	0.063	0.000	1.000
moderate	54	58	2030	0.432	0.283	0.200	0.085	0.000	1.000
moderate	59	63	2025	0.386	0.254	0.253	0.107	0.000	1.000
moderate	64	68	2020	0.333	0.220	0.286	0.121	0.040	1.000
moderate	69	72	2015	0.261	0.171	0.321	0.137	0.110	1.000
moderate	73	125	Income	0.183	0.121	0.370	0.159	0.167	1.000
aggressive	0	23	2065	0.600	0.400	0.000	0.000	0.000	1.000
aggressive	24	28	2060	0.600	0.400	0.000	0.000	0.000	1.000
aggressive	29	33	2055	0.590	0.380	0.020	0.010	0.000	1.000
aggressive	34	38	2050	0.580	0.370	0.030	0.020	0.000	1.000
aggressive	39	43	2045	0.570	0.360	0.040	0.030	0.000	1.000
aggressive	44	48	2040	0.560	0.350	0.060	0.030	0.000	1.000
aggressive	49	53	2035	0.540	0.360	0.070	0.030	0.000	1.000
aggressive	54	58	2030	0.520	0.340	0.100	0.040	0.000	1.000
aggressive	59	63	2025	0.470	0.320	0.150	0.060	0.000	1.000
aggressive	64	68	2020	0.430	0.280	0.200	0.090	0.000	1.000
aggressive	69	72	2015	0.380	0.260	0.250	0.110	0.000	1.000
aggressive	73	125	Income	0.330	0.220	0.290	0.120	0.040	1.000
